p,Q11,Tracking_Error,Rise_Time
5,500,2.13,0.6
5,2500,0.69,0.44
5,4500,0.39,0.36
5,6500,0.27,0.28
5,8500,0.2,0.24
5,10000,0.17,0.24
15,500,0.65,0.5
15,2500,0.11,0.32
15,4500,0.05,0.26
15,6500,0.03,0.24
15,8500,0.02,0.22
15,10000,0.01,0.2
25,500,0.36,0.46
25,2500,0.05,0.34
25,4500,0.02,0.28
25,6500,0.01,0.24
25,8500,0.006,0.22
25,10000,0.004,0.2
35,500,0.255,0.44
35,2500,0.041,0.32
35,4500,0.018,0.28
35,6500,0.0098,0.24
35,8500,0.0056,0.22
35,10000,0.0037,0.2
45,500,0.205,0.44
45,2500,0.037,0.32
45,4500,0.018,0.28
45,6500,0.01,0.24
45,8500,0.006,0.22
45,10000,0.004,0.2
55,500,0.177,0.42
55,2500,0.037,0.32
55,4500,0.019,0.28
55,6500,0.011,0.24
55,8500,0.007,0.22
55,10000,0.005,0.2
65,500,0.161,0.42
65,2500,0.038,0.32
65,4500,0.02,0.28
65,6500,0.012,0.24
65,8500,0.007,0.22
65,10000,0.005,0.2
